mode,N,threads,run,seconds
serial,140000,1,6,28.477077
serial,140000,1,7,29.062409
serial,140000,1,8,28.572288
serial,140000,1,9,28.548712
serial,140000,1,10,29.059932
omp_indivisible,140000,1,1,30.384504
omp_indivisible,140000,1,2,29.883526
omp_indivisible,140000,1,3,29.665420
omp_indivisible,140000,1,4,29.503668
omp_indivisible,140000,1,5,29.507988
omp_indivisible,140000,1,6,29.560756
omp_indivisible,140000,1,7,29.689845
omp_indivisible,140000,1,8,29.192563
omp_indivisible,140000,1,9,29.194966
omp_indivisible,140000,1,10,30.113883
omp_indivisible,140000,4,1,11.258665
omp_indivisible,140000,4,2,11.385180
omp_indivisible,140000,4,3,11.343505
omp_indivisible,140000,4,4,11.593107
omp_indivisible,140000,4,5,11.703821
omp_indivisible,140000,4,6,11.912975
omp_indivisible,140000,4,7,11.834779
omp_indivisible,140000,4,8,11.828384
omp_indivisible,140000,4,9,11.481642
omp_indivisible,140000,4,10,11.718652
omp_indivisible,140000,8,1,9.707033
omp_indivisible,140000,8,2,9.220507
omp_indivisible,140000,8,3,9.693171
omp_indivisible,140000,8,4,9.519473
omp_indivisible,140000,8,5,9.628159
omp_indivisible,140000,8,6,9.644159
omp_indivisible,140000,8,7,9.510378
omp_indivisible,140000,8,8,9.395564
omp_indivisible,140000,8,9,9.325821
omp_indivisible,140000,8,10,9.429936
omp_indivisible,140000,16,1,9.581297
omp_indivisible,140000,16,2,9.416031
omp_indivisible,140000,16,3,9.319468
omp_indivisible,140000,16,4,9.224200
omp_indivisible,140000,16,5,9.410265
omp_indivisible,140000,16,6,9.340595
omp_indivisible,140000,16,7,9.201458
omp_indivisible,140000,16,8,9.329348
omp_indivisible,140000,16,9,9.476668
omp_indivisible,140000,16,10,9.745464
omp_cuadrantes,140000,1,1,30.104566
omp_cuadrantes,140000,1,2,29.793366
omp_cuadrantes,140000,1,3,29.710247
omp_cuadrantes,140000,1,4,30.239005
omp_cuadrantes,140000,1,5,29.658129
omp_cuadrantes,140000,1,6,29.900876
omp_cuadrantes,140000,1,7,29.848373
omp_cuadrantes,140000,1,8,29.694889
omp_cuadrantes,140000,1,9,29.447230
omp_cuadrantes,140000,1,10,29.407436
omp_cuadrantes,140000,4,1,11.526575
omp_cuadrantes,140000,4,2,11.782957
omp_cuadrantes,140000,4,3,11.679686
omp_cuadrantes,140000,4,4,11.936444
omp_cuadrantes,140000,4,5,11.948027
omp_cuadrantes,140000,4,6,11.929544
omp_cuadrantes,140000,4,7,11.988379
omp_cuadrantes,140000,4,8,11.870333
omp_cuadrantes,140000,4,9,11.821096
omp_cuadrantes,140000,4,10,12.034044
omp_cuadrantes,140000,8,1,9.855033
omp_cuadrantes,140000,8,2,9.930176
omp_cuadrantes,140000,8,3,9.997693
omp_cuadrantes,140000,8,4,10.057444
omp_cuadrantes,140000,8,5,10.006297
omp_cuadrantes,140000,8,6,9.830281
omp_cuadrantes,140000,8,7,9.793685
omp_cuadrantes,140000,8,8,9.882676
omp_cuadrantes,140000,8,9,9.874956
omp_cuadrantes,140000,8,10,10.020037
omp_cuadrantes,140000,16,1,9.777869
omp_cuadrantes,140000,16,2,9.878084
omp_cuadrantes,140000,16,3,9.935446
omp_cuadrantes,140000,16,4,9.771020
omp_cuadrantes,140000,16,5,9.704836
omp_cuadrantes,140000,16,6,9.929951
omp_cuadrantes,140000,16,7,10.019298
omp_cuadrantes,140000,16,8,10.270217
omp_cuadrantes,140000,16,9,10.700449
omp_cuadrantes,140000,16,10,10.836319
serial,160000,1,1,36.547898
serial,160000,1,2,36.577016
serial,160000,1,3,36.906901
serial,160000,1,4,36.483207
serial,160000,1,5,36.442532
